"ano","municipio","populacao_total","populacao_6_12"
2000,"5000203",10102,0
2000,"5000252",3797,0
2000,"5000609",30785,0
2000,"5000708",23063,0
2000,"5000807",8193,0
2000,"5000856",7597,0
2000,"5000906",7563,0
2000,"5001003",18784,0
2000,"5001102",45254,0
2000,"5001243",8310,0
2000,"5001508",6901,0
2000,"5001904",16671,0
2000,"5002001",10932,0
2000,"5002100",22517,0
2000,"5002159",8665,0
2000,"5002209",17484,0
2000,"5002308",12271,0
2000,"5002407",21279,0
2000,"5002605",14129,0
2000,"5002704",698154,0
2000,"5002803",4768,0
2000,"5002902",20693,0
2000,"5002951",11450,0
2000,"5003108",3745,0
2000,"5003157",13168,0
2000,"5003207",100413,0
2000,"5003256",13846,0
2000,"5003306",32012,0
2000,"5003454",11630,0
2000,"5003488",9691,0
2000,"5003504",4870,0
2000,"5003702",171971,0
2000,"5003751",11374,0
2000,"5003801",19591,0
2000,"5003900",2927,0
2000,"5004007",10305,0
2000,"5004106",11436,0
2000,"5004304",14059,0
2000,"5004403",8042,0
2000,"5004502",18031,0
2000,"5004601",16238,0
2000,"5004700",22067,0
2000,"5004809",6337,0
2000,"5004908",5604,0
2000,"5005004",23236,0
2000,"5005103",4127,0
2000,"5005152",5134,0
2000,"5005202",15782,0
2000,"5005251",5669,0
2000,"5005400",27564,0
2000,"5005608",23733,0
2000,"5005681",16081,0
2000,"5005707",38436,0
2000,"5005806",15415,0
2000,"5006002",10281,0
2000,"5006200",37122,0
2000,"5006259",6514,0
2000,"5006275",3472,0
2000,"5006309",40017,0
2000,"5006358",10528,0
2000,"5006408",8736,0
2000,"5006606",63157,0
2000,"5006903",13649,0
2000,"5007109",17212,0
2000,"5007208",23247,0
2000,"5007307",5597,0
2000,"5007406",18863,0
2000,"5007505",4128,0
2000,"5007554",6829,0
2000,"5007695",17179,0
2000,"5007703",11191,0
2000,"5007802",6251,0
2000,"5007901",24507,0
2000,"5007935",9932,0
2000,"5007950",8969,0
2000,"5007976",3606,0
2000,"5008008",12186,0
2000,"5008305",81498,0
2000,"5008404",5907,0
2001,"5000203",10353,0
2001,"5000252",3874,0
2001,"5000609",31250,0
2001,"5000708",23239,0
2001,"5000807",8255,0
2001,"5000856",7744,0
2001,"5000906",7635,0
2001,"5001003",19144,0
2001,"5001102",45518,0
2001,"5001243",8488,0
2001,"5001508",6919,0
2001,"5001904",16984,0
2001,"5002001",10989,0
2001,"5002100",22685,0
2001,"5002159",8644,0
2001,"5002209",17743,0
2001,"5002308",12281,0
2001,"5002407",21709,0
2001,"5002605",14149,0
2001,"5002704",709060,0
2001,"5002803",4842,0
2001,"5002902",20808,0
2001,"5002951",11965,0
2001,"5003108",3833,0
2001,"5003157",13291,0
2001,"5003207",101303,0
2001,"5003256",14159,0
2001,"5003306",32170,0
2001,"5003454",11714,0
2001,"5003488",9802,0
2001,"5003504",4934,0
2001,"5003702",174702,0
2001,"5003751",11438,0
2001,"5003801",19619,0
2001,"5003900",2930,0
2001,"5004007",10323,0
2001,"5004106",11401,0
2001,"5004304",14179,0
2001,"5004403",8034,0
2001,"5004502",18352,0
2001,"5004601",16496,0
2001,"5004700",22160,0
2001,"5004809",6451,0
2001,"5004908",5676,0
2001,"5005004",23430,0
2001,"5005103",4132,0
2001,"5005152",5214,0
2001,"5005202",16159,0
2001,"5005251",5750,0
2001,"5005400",28460,0
2001,"5005608",23998,0
2001,"5005681",16196,0
2001,"5005707",39259,0
2001,"5005806",15397,0
2001,"5006002",10729,0
2001,"5006200",37936,0
2001,"5006259",6391,0
2001,"5006275",3549,0
2001,"5006309",40255,0
2001,"5006358",10690,0
2001,"5006408",8714,0
2001,"5006606",64512,0
2001,"5006903",13849,0
2001,"5007109",17601,0
2001,"5007208",23913,0
2001,"5007307",5566,0
2001,"5007406",18950,0
2001,"5007505",4178,0
2001,"5007554",6901,0
2001,"5007695",17599,0
2001,"5007703",11177,0
2001,"5007802",6289,0
2001,"5007901",25834,0
2001,"5007935",10333,0
2001,"5007950",9098,0
2001,"5007976",3603,0
2001,"5008008",12610,0
2001,"5008305",83408,0
2001,"5008404",5926,0
2002,"5000203",10612,0
2002,"5000252",3957,0
2002,"5000609",31719,0
2002,"5000708",23372,0
2002,"5000807",8321,0
2002,"5000856",7901,0
2002,"5000906",7706,0
2002,"5001003",19497,0
2002,"5001102",45690,0
2002,"5001243",8672,0
2002,"5001508",6939,0
2002,"5001904",17325,0
2002,"5002001",11031,0
2002,"5002100",22831,0
2002,"5002159",8609,0
2002,"5002209",17997,0
2002,"5002308",12279,0
2002,"5002407",22156,0
2002,"5002605",14146,0
2002,"5002704",719831,0
2002,"5002803",4939,0
2002,"5002902",20907,0
2002,"5002951",12579,0
2002,"5003108",3948,0
2002,"5003157",13421,0
2002,"5003207",102065,0
2002,"5003256",14491,0
2002,"5003306",32317,0
2002,"5003454",11778,0
2002,"5003488",9918,0
